# 多动作冲突感知梯度累积

五种动作各 12 条经验按轮交错。`direct` 全写入；`positive_filter` 对当前梯度与历史累计方向余弦小于 0 的经验跳过；`project` 消除该负向分量并保持相同单步参数 L2。剂量按动作数平方根归一，使五动作近似正交时的联合 RMS 参数剂量等于此前单动作 10× 正式剂量。

## valid_seen

### last_mlp

重算/恢复/梯度复现最大误差：0 / 0 / 0。

| 策略 | 轮次/经验 | 接受/投影 | 实际漂移 L2 | 同动作留出 ΔV [verb-bootstrap 95% CI] | 同任务异动作 ΔV | 异任务异动作 ΔV | 同动作 flip / harm |

### last_four_blocks

重算/恢复/梯度复现最大误差：0 / 0 / 0。

| 策略 | 轮次/经验 | 接受/投影 | 实际漂移 L2 | 同动作留出 ΔV [verb-bootstrap 95% CI] | 同任务异动作 ΔV | 异任务异动作 ΔV | 同动作 flip / harm |
|---|---:|---:|---:|---:|---:|---:|---:|
| direct | 1/5 | 5/0 | 0.009886 | +0.002714 [+0.000284,+0.006705] | +0.002810 | +0.002222 | 0.0% / 0.0% |
| direct | 4/20 | 20/0 | 0.030224 | +0.007180 [+0.001807,+0.012217] | -0.003625 | -0.006522 | 13.3% / 3.3% |
| direct | 8/40 | 40/0 | 0.062781 | +0.017193 [+0.003153,+0.034328] | -0.005453 | -0.011471 | 20.0% / 3.3% |
| direct | 12/60 | 60/0 | 0.086054 | +0.039369 [+0.007705,+0.090052] | +0.009483 | +0.002503 | 40.0% / 16.7% |
| positive_filter | 1/5 | 3/0 | 0.013762 | +0.011695 [-0.003533,+0.035593] | +0.015939 | +0.016534 | 13.3% / 3.3% |
| positive_filter | 4/20 | 10/0 | 0.039746 | +0.030198 [-0.009893,+0.089830] | +0.036366 | +0.037306 | 56.7% / 30.0% |
| positive_filter | 8/40 | 22/0 | 0.076813 | +0.046440 [-0.011373,+0.128505] | +0.054850 | +0.053290 | 83.3% / 40.0% |
| positive_filter | 12/60 | 36/0 | 0.109775 | +0.057573 [-0.010020,+0.149523] | +0.068849 | +0.063283 | 90.0% / 43.3% |
| project | 1/5 | 5/2 | 0.016715 | +0.006929 [-0.001142,+0.019317] | +0.009882 | +0.009042 | 6.7% / 3.3% |
| project | 4/20 | 20/9 | 0.036620 | +0.012417 [+0.002853,+0.026477] | +0.005830 | +0.000838 | 16.7% / 3.3% |
| project | 8/40 | 40/13 | 0.069384 | +0.022829 [+0.003614,+0.049320] | +0.005077 | -0.004444 | 30.0% / 6.7% |
| project | 12/60 | 60/18 | 0.097779 | +0.044017 [+0.006876,+0.103235] | +0.017745 | +0.007267 | 46.7% / 16.7% |

## 进入完整回合评测的门槛

冲突感知策略必须在两种 split 上同时满足：最终同动作留出价值为正；相对 direct 减少同任务异动作伤害；同动作最高价值动作伤害不高于 2%；且效果不是仅由显著更小的实际参数漂移解释。满足后才保存该策略的参数增量并运行配对的完整 ALFWorld 回合。

